arm	programme	seed	klass	level	lid	width	aspect	area	q_width	q_proportion	q_size	q_crinkliness	old_proportion	old_size
baseline	maple-court	2	c	2	rrrr	2.518	2.322	14.778	1.000	1.000	1.000	0.798	0.259	0.573
bk9	programme-house	0	c	0	lll	2.021	1.378	5.737	0.166	1.000	1.000	0.967	1.000	0.919
bk9	programme-house	0	o	0	lr	3.448	1.140	13.937	1.000	1.000	1.000	0.375	1.000	0.609
bk9	programme-house	0	c	1	lll	2.021	1.378	5.737	0.166	1.000	1.000	0.486	1.000	0.919
bk9	programme-house	0	o	1	llr	1.524	1.822	4.317	0.000	1.000	1.000	1.000	0.812	0.954
bk9	programme-house	0	c	2	lll	2.021	1.378	5.737	0.166	1.000	1.000	0.222	1.000	0.919
bk9	programme-house	0	o	2	lr	3.448	1.140	13.937	1.000	1.000	1.000	1.000	1.000	0.609
bk9	programme-house	0	o	2	r	3.970	1.681	27.763	1.000	1.000	1.000	1.000	0.936	0.140
bk9	programme-house	1	c	0	llr	1.971	1.005	3.914	0.100	1.000	1.000	0.894	1.000	0.962
bk9	programme-house	1	c	0	rlr	2.050	1.630	7.007	0.217	1.000	1.000	0.747	0.967	0.882
bk9	programme-house	1	c	1	ll	1.972	1.958	7.809	0.101	1.000	1.000	0.559	0.657	0.856
bk9	programme-house	1	o	1	rll	3.357	1.073	12.151	1.000	1.000	1.000	1.000	1.000	0.686
bk9	programme-house	1	c	1	rlr	2.050	1.630	7.007	0.217	1.000	1.000	0.541	0.967	0.882
bk9	programme-house	2	c	0	ll	2.654	1.197	8.464	1.000	1.000	1.000	0.992	1.000	0.833
bk9	programme-house	2	o	0	lrr	2.673	1.007	7.221	0.553	1.000	1.000	0.571	1.000	0.875
bk9	programme-house	2	c	1	ll	2.654	1.197	8.464	1.000	1.000	1.000	0.992	1.000	0.833
bk9	programme-house	2	o	1	rrr	2.356	1.742	9.946	0.100	1.000	1.000	1.000	0.890	0.777
bk9	health-centre	0	o	0	lllll	2.863	1.670	13.723	0.901	1.000	1.000	1.000	0.944	0.619
bk9	health-centre	0	c	0	lllrrr	2.035	1.219	5.052	0.189	1.000	1.000	0.917	1.000	0.937
bk9	health-centre	0	o	0	llrllr	2.927	1.406	12.168	0.971	1.000	1.000	1.000	1.000	0.685
bk9	health-centre	0	c	0	llrlr	2.003	3.678	15.028	0.139	1.000	1.000	0.587	0.000	0.562
bk9	health-centre	0	c	0	llrrr	1.993	1.287	5.149	0.126	1.000	1.000	0.997	1.000	0.935
bk9	health-centre	0	c	0	lrllr	2.143	2.084	9.676	0.437	1.000	1.000	0.172	0.505	0.788
bk9	health-centre	0	o	0	lrrll	3.374	1.499	17.105	1.000	1.000	1.000	1.000	1.000	0.474
bk9	health-centre	0	c	0	rllll	5.094	1.177	30.623	1.000	1.000	1.000	0.739	1.000	0.091
bk9	health-centre	0	o	0	rlrllr	3.757	1.053	14.883	1.000	1.000	1.000	1.000	1.000	0.568
bk9	health-centre	0	c	0	rlrrr	2.033	1.007	4.161	0.185	1.000	1.000	0.918	1.000	0.957
bk9	health-centre	0	o	0	rrlrl	2.438	1.383	8.234	0.173	1.000	1.000	1.000	1.000	0.841
bk9	health-centre	0	c	0	rrlrr	2.031	1.196	4.962	0.182	1.000	1.000	0.915	1.000	0.939
bk9	health-centre	0	c	0	rrrl	4.601	1.065	22.803	1.000	1.000	1.000	0.995	1.000	0.265
bk9	health-centre	1	c	0	lllll	2.664	2.264	16.122	1.000	1.000	1.000	0.993	0.311	0.515
bk9	health-centre	1	o	0	llllrr	3.000	1.154	10.402	1.000	1.000	1.000	1.000	1.000	0.759
bk9	health-centre	1	o	0	llrll	2.697	1.948	14.355	0.600	1.000	1.000	1.000	0.670	0.591
bk9	health-centre	1	o	0	llrr	4.715	1.131	25.215	1.000	1.000	1.000	1.000	1.000	0.198
bk9	health-centre	1	o	0	lrllllr	2.473	1.458	8.994	0.214	1.000	1.000	1.000	1.000	0.814
bk9	health-centre	1	c	0	lrllrr	2.142	1.184	5.463	0.436	1.000	1.000	1.000	1.000	0.927
bk9	health-centre	1	c	0	lrlrr	1.985	1.972	7.783	0.116	1.000	1.000	0.972	0.640	0.857
bk9	health-centre	1	c	0	lrrrl	2.438	1.802	10.730	1.000	1.000	1.000	0.999	0.833	0.745
bk9	health-centre	1	o	0	lrrrr	2.398	1.821	10.491	0.133	1.000	1.000	1.000	0.814	0.755
bk9	health-centre	1	c	0	rllllr	2.087	2.417	10.644	0.293	1.000	1.000	0.935	0.186	0.749
bk9	health-centre	1	o	0	rllr	2.929	2.879	25.215	0.972	1.000	1.000	1.000	0.022	0.198
bk9	health-centre	1	o	0	rlrr	2.372	4.041	22.833	0.111	0.999	1.000	1.000	0.000	0.264
bk9	health-centre	1	c	0	rrlll	3.143	1.114	11.082	1.000	1.000	1.000	0.663	1.000	0.731
bk9	health-centre	1	c	0	rrlrl	1.607	2.307	5.964	0.000	1.000	1.000	0.721	0.272	0.913
bk9	health-centre	2	c	0	llll	4.902	1.042	25.354	1.000	1.000	1.000	0.000	1.000	0.194
bk9	health-centre	2	c	0	llrrr	2.007	2.242	9.136	0.145	1.000	1.000	0.176	0.333	0.808
bk9	health-centre	2	c	0	lrlll	2.633	2.375	16.717	1.000	1.000	1.000	0.845	0.217	0.490
bk9	health-centre	2	o	0	lrllr	2.616	2.394	16.626	0.440	1.000	1.000	1.000	0.202	0.494
bk9	health-centre	2	o	0	lrrr	5.134	1.102	29.116	1.000	1.000	1.000	1.000	1.000	0.115
bk9	health-centre	2	c	0	rlll	5.226	1.033	28.285	1.000	1.000	1.000	0.968	1.000	0.130
bk9	health-centre	2	o	0	rllrl	3.793	1.093	15.882	1.000	1.000	1.000	1.000	1.000	0.525
bk9	health-centre	2	o	0	rlrlr	1.769	2.060	6.504	0.000	1.000	1.000	1.000	0.534	0.898
bk9	health-centre	2	c	0	rlrrrr	0.204	17.124	0.719	0.000	1.000	1.000	0.649	0.000	0.999
bk9	health-centre	2	c	0	rrlrlr	2.347	1.165	6.451	0.965	1.000	1.000	0.991	1.000	0.899
bk9	health-centre	2	c	0	rrrlr	1.982	2.062	8.172	0.112	1.000	1.000	0.355	0.532	0.843
